V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_08s0056g01240	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0026g02480	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_07s0191g00130	M3	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_09s0002g02430	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_19s0014g03290	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_12s0059g00570	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_16s0100g00270	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_07s0141g00520	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_17s0000g05070	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_09s0002g05710	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_14s0219g00110	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_18s0001g08270	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_16s0022g00670	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0802g00010	M1	FALSE	FALSE	TRUE	FALSE	FALSE
VIT_15s0021g02700	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_08s0007g00840	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_09s0002g04320	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_13s0064g00890	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_09s0002g05250	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_12s0059g01240	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g06150	M7	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_13s0073g00590	M8	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0015g02730	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0007g01630	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s1306g00020	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_13s0064g00670	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0093g00160	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_17s0000g01080	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_11s0052g01700	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_08s0040g01950	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_11s0016g05840	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0105g00380	M4	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_04s0008g01380	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_14s0083g01140	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_16s0098g01290	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0204g00170	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_18s0001g00760	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_06s0004g05180	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_02s0025g04660	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_13s0019g03170	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_11s0016g00590	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_16s0100g00290	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_05s0049g01180	M4	TRUE	TRUE	TRUE	FALSE	TRUE
VIT_05s0020g03860	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_12s0059g02360	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_14s0081g00010	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_13s0019g02180	M10	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_10s0071g01060	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_03s0038g03570	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_12s0034g01970	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_18s0001g02740	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0011g01170	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_13s0019g03000	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_01s0127g00540	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0052g00970	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_19s0014g03850	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_02s0025g01450	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0090g00960	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0016g04190	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_03s0017g01460	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_17s0000g08070	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_09s0002g01750	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_05s0049g00770	M10	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_03s0038g02510	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_15s0046g02110	M3	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0040g00390	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_00s0225g00010	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_04s0008g05770	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_06s0004g02650	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_12s0028g02180	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_07s0141g00600	M1	TRUE	TRUE	FALSE	FALSE	FALSE
