Module	Source	Stage	Year	Estimate_CS_minus_PN	SE	df	t_ratio	P_value	FDR_within_source
"M9"	"Modern"	"Veraison"	"2012"	0.0692034000157457	2.84220530638334	36	0.0243484873736323	0.980709104007576	0.99314304247823
"M9"	"Modern"	"Harvest"	"2012"	0.201341475873855	2.84220530638334	36	0.0708398775491904	0.943917271415905	0.99314304247823
"M9"	"Modern"	"FruitSet"	"2013"	-2.75413897368826	2.84220530638334	36	-0.969014788447094	0.339003394516478	0.50016894272923
"M9"	"Modern"	"Veraison"	"2013"	1.49881523500405	2.84220530638334	36	0.527342353361259	0.601190951900788	0.794790844119997
"M9"	"Modern"	"Harvest"	"2013"	0.98338411096541	2.84220530638334	36	0.345993341422879	0.731361664555191	0.889493916350907
"M9"	"Modern"	"FruitSet"	"2014"	-0.024596196908678	2.84220530638334	36	-0.0086539128096894	0.99314304247823	0.99314304247823
"M9"	"Modern"	"Veraison"	"2014"	4.72103297920277	2.84220530638334	36	1.66104572692189	0.105390366637885	0.201811340370417
"M9"	"Modern"	"Harvest"	"2014"	3.2643808628486	2.84220530638334	36	1.14853802275194	0.25832103262384	0.407875314669221
"M10"	"Legacy_mapped"	"FruitSet"	"2012"	-0.131805720741308	0.463996680111357	36	-0.284066085795432	0.777987239531121	0.962930676694418
"M10"	"Legacy_mapped"	"Veraison"	"2012"	-1.90151739476175	0.463996680111357	36	-4.09812715536109	0.000226177340653658	0.000819673367581833
"M10"	"Legacy_mapped"	"Harvest"	"2012"	-3.62266318624967	0.463996680111357	36	-7.8075196257444	2.95136385888077e-09	1.77081831532846e-08
"M10"	"Legacy_mapped"	"FruitSet"	"2013"	0.476592994907575	0.463996680111357	36	1.02714742440225	0.311203409142391	0.518672348570651
"M10"	"Legacy_mapped"	"Veraison"	"2013"	-1.68780972926053	0.463996680111357	36	-3.63754699463683	0.000855225539129925	0.00274893923291762
"M10"	"Legacy_mapped"	"Harvest"	"2013"	-2.0049474937848	0.463996680111357	36	-4.3210384464467	0.00011694115522301	0.000478395635003223
"M10"	"Legacy_mapped"	"FruitSet"	"2014"	-0.105563780921046	0.463996680111357	36	-0.227509776353812	0.821314537932267	0.96807120911175
"M10"	"Legacy_mapped"	"Veraison"	"2014"	-2.0197681840766	0.463996680111357	36	-4.35297981785531	0.000106319947617968	0.000455656918362721
"M10"	"Legacy_mapped"	"Harvest"	"2014"	-0.832473737493726	0.463996680111357	36	-1.79413727118465	0.081193550914807	0.173986180531729
"M10"	"Modern"	"FruitSet"	"2012"	-0.585618483525055	0.476923978463905	36	-1.22790740237309	0.227449938597306	0.372190808613774
"M10"	"Modern"	"Veraison"	"2012"	-1.73468201650971	0.476923978463905	36	-3.63722961067473	0.000855994239200756	0.00296305698184877
"M10"	"Modern"	"Harvest"	"2012"	-3.74457847087983	0.476923978463905	36	-7.85152066151195	2.59318851422821e-09	1.55591310853692e-08
"M10"	"Modern"	"FruitSet"	"2013"	0.227410840720618	0.476923978463905	36	0.476828280794501	0.636366224852625	0.806661411785018
"M10"	"Modern"	"Veraison"	"2013"	-1.4833408299929	0.476923978463905	36	-3.11022489322198	0.00364608137021972	0.010254603853743
"M10"	"Modern"	"Harvest"	"2013"	-2.18912693447313	0.476923978463905	36	-4.59009618581971	5.21921200076579e-05	0.000247225831615222
"M10"	"Modern"	"FruitSet"	"2014"	0.00704004509847662	0.476923978463905	36	0.0147613569801029	0.988304074632284	0.99314304247823
"M10"	"Modern"	"Veraison"	"2014"	-1.861629522429	0.476923978463905	36	-3.90340936185471	0.000399266183696159	0.0014972481888606
"M10"	"Modern"	"Harvest"	"2014"	-1.22245308071776	0.476923978463905	36	-2.56320322717907	0.0146950647211955	0.0367376618029888
