"Module"	"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"
"M10"	"VIT_18s0001g12830"	"VIT_05s0102g00710"	-0.913667287050798	0.405397211480359
"M10"	"VIT_17s0000g00430"	"VIT_05s0102g00710"	-0.935836933484587	0.515230791202031
"M10"	"VIT_08s0040g01890"	"VIT_05s0102g00710"	-0.838538027519221	0.17188090254759
"M10"	"VIT_08s0007g08010"	"VIT_05s0102g00710"	-0.747017281384694	0.0541136076337575
"M10"	"VIT_13s0019g02180"	"VIT_05s0102g00710"	-0.591530339269241	0.00524529891692004
"M10"	"VIT_05s0049g00770"	"VIT_05s0102g00710"	-0.848522683209694	0.193479326193576
"M10"	"VIT_17s0000g05580"	"VIT_05s0102g00710"	-0.941078339567385	0.544825938287784
"M10"	"VIT_16s0098g00790"	"VIT_05s0102g00710"	-0.853964611520302	0.206252270461485
"M10"	"VIT_17s0000g01930"	"VIT_05s0102g00710"	-0.879832220879514	0.277970446696636
"M10"	"VIT_12s0142g00160"	"VIT_05s0102g00710"	-0.763246789009182	0.0670887745232913
"M10"	"VIT_09s0002g06400"	"VIT_05s0102g00710"	-0.489846386942614	0.000795424732997287
"M10"	"VIT_13s0067g00700"	"VIT_05s0102g00710"	-0.733255696753574	0.0449318662595238
"M10"	"VIT_19s0015g01300"	"VIT_05s0102g00710"	-0.876240644060984	0.266829559222628
"M10"	"VIT_12s0059g00490"	"VIT_05s0102g00710"	-0.780518850395031	0.0839139108702259
"M10"	"VIT_02s0025g01610"	"VIT_05s0102g00710"	-0.879403019819575	0.276617419954387
"M10"	"VIT_00s0274g00090"	"VIT_05s0102g00710"	-0.780923393468579	0.0843498526384421
"M10"	"VIT_12s0035g02080"	"VIT_05s0102g00710"	-0.877639641693169	0.271120473641973
"M10"	"VIT_16s0100g00400"	"VIT_05s0102g00710"	-0.924532147284701	0.456268164889272
"M10"	"VIT_17s0000g07470"	"VIT_05s0102g00710"	-0.608914526129642	0.00700750386725049
"M10"	"VIT_04s0023g03550"	"VIT_05s0102g00710"	-0.868594140400046	0.244438129951527
"M10"	"VIT_02s0033g01120"	"VIT_16s0098g01170"	-0.735952461870268	0.0466119878052105
"M10"	"VIT_18s0001g12830"	"VIT_16s0098g01170"	-0.611563255617916	0.00731836118141627
"M10"	"VIT_17s0000g00430"	"VIT_16s0098g01170"	-0.757183059090108	0.0619453750447085
"M10"	"VIT_08s0040g01890"	"VIT_16s0098g01170"	-0.712178607985763	0.033565200398077
"M10"	"VIT_08s0007g08010"	"VIT_16s0098g01170"	-0.660700584797276	0.0158506440044337
"M10"	"VIT_13s0019g02180"	"VIT_16s0098g01170"	-0.67968539630533	0.0210416304002575
"M10"	"VIT_05s0049g00770"	"VIT_16s0098g01170"	-0.723369220318339	0.039228369192956
"M10"	"VIT_17s0000g05580"	"VIT_16s0098g01170"	-0.764057433872241	0.0678047400554771
"M10"	"VIT_16s0098g00790"	"VIT_16s0098g01170"	-0.823468915048533	0.143374559718636
"M10"	"VIT_17s0000g01930"	"VIT_16s0098g01170"	-0.798790225096826	0.105761455043484
"M10"	"VIT_12s0142g00160"	"VIT_16s0098g01170"	-0.620355999274863	0.00844131030095721
"M10"	"VIT_09s0002g06400"	"VIT_16s0098g01170"	-0.54681884941965	0.00239020289129501
"M10"	"VIT_13s0067g00700"	"VIT_16s0098g01170"	-0.719098652846471	0.0369730051692885
"M10"	"VIT_19s0015g01300"	"VIT_16s0098g01170"	-0.70303939114467	0.0294982730453538
"M10"	"VIT_12s0059g00490"	"VIT_16s0098g01170"	-0.618070741061108	0.0081354550433132
"M10"	"VIT_02s0025g01610"	"VIT_16s0098g01170"	-0.867689391927958	0.241903905198915
"M10"	"VIT_00s0274g00090"	"VIT_16s0098g01170"	-0.775137597618527	0.0783047353550031
"M10"	"VIT_12s0035g02080"	"VIT_16s0098g01170"	-0.797172188529751	0.103638564219138
"M10"	"VIT_16s0100g00400"	"VIT_16s0098g01170"	-0.781147254135341	0.0845919633393559
"M10"	"VIT_17s0000g07470"	"VIT_16s0098g01170"	-0.540337254799266	0.00212152971998977
"M10"	"VIT_04s0023g03550"	"VIT_16s0098g01170"	-0.71798684656637	0.0364053223554638
"M10"	"VIT_05s0102g00710"	"VIT_16s0098g01170"	0.790278147621946	0.0950166538641283
"M10"	"VIT_02s0033g01120"	"VIT_08s0040g02610"	0.818426466406878	0.134833141134471
"M10"	"VIT_18s0001g12830"	"VIT_08s0040g02610"	0.835275749418047	0.165309848191947
"M10"	"VIT_17s0000g00430"	"VIT_08s0040g02610"	0.900710319894852	0.351440159243554
"M10"	"VIT_08s0040g01890"	"VIT_08s0040g02610"	0.667962267558746	0.0176815080703485
"M10"	"VIT_08s0007g08010"	"VIT_08s0040g02610"	0.810346411263307	0.122097601092154
"M10"	"VIT_13s0019g02180"	"VIT_08s0040g02610"	0.64319530958856	0.0121179369133256
"M10"	"VIT_05s0049g00770"	"VIT_08s0040g02610"	0.805385015685864	0.114824735132297
"M10"	"VIT_17s0000g05580"	"VIT_08s0040g02610"	0.867462384976942	0.241271775044744
"M10"	"VIT_16s0098g00790"	"VIT_08s0040g02610"	0.827524928463129	0.150595104386726
"M10"	"VIT_17s0000g01930"	"VIT_08s0040g02610"	0.931409029898399	0.491365251298976
"M10"	"VIT_12s0142g00160"	"VIT_08s0040g02610"	0.837350337117912	0.169461870205464
"M10"	"VIT_09s0002g06400"	"VIT_08s0040g02610"	0.576224950655923	0.00403571597469409
"M10"	"VIT_13s0067g00700"	"VIT_08s0040g02610"	0.791583682040378	0.0965980433044574
"M10"	"VIT_19s0015g01300"	"VIT_08s0040g02610"	0.894534570485276	0.328073605262004
"M10"	"VIT_12s0059g00490"	"VIT_08s0040g02610"	0.834392680933243	0.163570454045976
"M10"	"VIT_02s0025g01610"	"VIT_08s0040g02610"	0.827670204983743	0.150859691273297
"M10"	"VIT_00s0274g00090"	"VIT_08s0040g02610"	0.870282204444845	0.249230409740088
"M10"	"VIT_12s0035g02080"	"VIT_08s0040g02610"	0.860733213060605	0.223195592301085
"M10"	"VIT_16s0100g00400"	"VIT_08s0040g02610"	0.882030782731285	0.28499511896893
"M10"	"VIT_17s0000g07470"	"VIT_08s0040g02610"	0.703280264266848	0.0295994950547329
"M10"	"VIT_04s0023g03550"	"VIT_08s0040g02610"	0.847998615295642	0.192287667313999
"M10"	"VIT_05s0102g00710"	"VIT_08s0040g02610"	-0.86514442844658	0.234901696092298
"M10"	"VIT_16s0098g01170"	"VIT_08s0040g02610"	-0.678578502879214	0.0207014598369313
"M10"	"VIT_02s0033g01120"	"VIT_05s0049g00840"	0.681901287265226	0.0217377756844029
