Source	Theme	Module	Matched_MapMan_terms	Background_N	Module_n	Theme_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_global_themes	Coverage_warning
v3_mapman	cellulose_hemicellulose	M1	34	2608	1916	30	24	22.0398773006135	1.08893528183716	TRUE		0.279187346380634	VIT_00s0238g00020;VIT_01s0011g03050;VIT_01s0011g03450;VIT_04s0008g05220;VIT_04s0023g02130;VIT_04s0069g00780;VIT_05s0020g01530;VIT_05s0062g01320;VIT_05s0077g01250;VIT_06s0061g00550;VIT_06s0061g01230;VIT_07s0005g02470;VIT_07s0031g02480;VIT_08s0007g03990;VIT_08s0007g04950;VIT_08s0058g00490;VIT_09s0018g02110;VIT_13s0064g00890;VIT_13s0067g01930;VIT_15s0046g00220;VIT_15s0046g01230;VIT_17s0000g05070;VIT_18s0001g11860;VIT_18s0089g00160	1	FALSE
v3_mapman	cellulose_hemicellulose	M2	34	2608	158	30	1	1.81748466257669	0.550210970464135	TRUE		0.848278639769529	VIT_18s0076g00100	1	FALSE
v3_mapman	cellulose_hemicellulose	M3	34	2608	82	30	0	0.943251533742331	0	TRUE		1		1	FALSE
v3_mapman	cellulose_hemicellulose	M4	34	2608	107	30	1	1.2308282208589	0.812461059190031	TRUE		0.717472999954188	VIT_01s0026g00810	1	FALSE
v3_mapman	cellulose_hemicellulose	M5	34	2608	93	30	0	1.06978527607362	0	TRUE		1		1	FALSE
v3_mapman	cellulose_hemicellulose	M6	34	2608	62	30	0	0.71319018404908	0	TRUE		1		1	FALSE
v3_mapman	cellulose_hemicellulose	M7	34	2608	51	30	3	0.586656441717791	5.11372549019608	TRUE		0.019727785232242	VIT_01s0026g00980;VIT_14s0066g02350;VIT_18s0001g08580	0.315644563715872	FALSE
v3_mapman	cellulose_hemicellulose	M8	34	2608	37	30	0	0.425613496932515	0	TRUE		1		1	FALSE
v3_mapman	cellulose_hemicellulose	M9	34	2608	41	30	0	0.471625766871166	0	TRUE		1		1	FALSE
v3_mapman	cellulose_hemicellulose	M10	34	2608	36	30	1	0.414110429447853	2.41481481481481	TRUE		0.342524393233146	VIT_18s0001g12830	1	FALSE
v3_mapman	lignin_lignification	M1	10	2608	1916	8	6	5.87730061349693	1.02087682672234	TRUE		0.640063714747891	VIT_01s0010g03510;VIT_04s0023g02900;VIT_07s0031g00350;VIT_09s0018g01190;VIT_18s0001g02610;VIT_19s0014g03240	1	FALSE
v3_mapman	lignin_lignification	M2	10	2608	158	8	0	0.484662576687117	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M3	10	2608	82	8	0	0.251533742331288	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M4	10	2608	107	8	0	0.328220858895706	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M5	10	2608	93	8	0	0.285276073619632	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M6	10	2608	62	8	2	0.190184049079755	10.5161290322581	TRUE		0.014200197579654	VIT_08s0040g00780;VIT_09s0070g00240	0.284003951593081	FALSE
v3_mapman	lignin_lignification	M7	10	2608	51	8	0	0.156441717791411	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M8	10	2608	37	8	0	0.113496932515337	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M9	10	2608	41	8	0	0.125766871165644	0	TRUE		1		1	FALSE
v3_mapman	lignin_lignification	M10	10	2608	36	8	0	0.110429447852761	0	TRUE		1		1	FALSE
v3_mapman	phenylpropanoid	M1	7	2608	1916	12	3	8.8159509202454	0.340292275574113	TRUE		0.99993688347417	VIT_06s0004g08150;VIT_08s0007g07120;VIT_13s0019g04460	1	FALSE
v3_mapman	phenylpropanoid	M2	7	2608	158	12	0	0.726993865030675	0	TRUE		1		1	FALSE
v3_mapman	phenylpropanoid	M3	7	2608	82	12	0	0.377300613496933	0	TRUE		1		1	FALSE
v3_mapman	phenylpropanoid	M4	7	2608	107	12	1	0.492331288343558	2.03115264797508	TRUE		0.395770909251046	VIT_11s0052g01090	1	FALSE
v3_mapman	phenylpropanoid	M5	7	2608	93	12	7	0.427914110429448	16.3584229390681	TRUE		4.01130956561227e-08	VIT_08s0040g01710;VIT_16s0039g01100;VIT_16s0039g01120;VIT_16s0039g01170;VIT_16s0039g01240;VIT_16s0039g01280;VIT_16s0039g01300	3.20904765248981e-06	FALSE
v3_mapman	phenylpropanoid	M6	7	2608	62	12	1	0.285276073619632	3.50537634408602	TRUE		0.25124229192452	VIT_08s0040g00780	1	FALSE
v3_mapman	phenylpropanoid	M7	7	2608	51	12	0	0.234662576687117	0	TRUE		1		1	FALSE
v3_mapman	phenylpropanoid	M8	7	2608	37	12	0	0.170245398773006	0	TRUE		1		1	FALSE
v3_mapman	phenylpropanoid	M9	7	2608	41	12	0	0.188650306748466	0	TRUE		1		1	FALSE
v3_mapman	phenylpropanoid	M10	7	2608	36	12	0	0.165644171779141	0	TRUE		1		1	FALSE
v3_mapman	flavonoid	M1	21	2608	1916	30	23	22.0398773006135	1.04356297842728	TRUE		0.436682004861642	VIT_00s0361g00040;VIT_01s0010g03510;VIT_02s0025g02960;VIT_02s0025g02970;VIT_03s0063g01690;VIT_04s0079g00690;VIT_05s0136g00260;VIT_06s0009g03000;VIT_06s0009g03010;VIT_07s0104g01800;VIT_10s0116g00560;VIT_11s0016g01020;VIT_13s0106g00550;VIT_14s0066g00400;VIT_14s0068g00920;VIT_16s0039g02230;VIT_16s0050g00910;VIT_16s0098g00860;VIT_17s0000g04150;VIT_18s0001g03430;VIT_18s0001g03470;VIT_18s0001g11430;VIT_18s0001g11520	1	FALSE
v3_mapman	flavonoid	M2	21	2608	158	30	2	1.81748466257669	1.10042194092827	TRUE		0.551228145142336	VIT_01s0011g02960;VIT_03s0017g00870	1	FALSE
v3_mapman	flavonoid	M3	21	2608	82	30	2	0.943251533742331	2.12032520325203	TRUE		0.242812447172188	VIT_06s0009g02810;VIT_06s0009g02970	1	FALSE
v3_mapman	flavonoid	M4	21	2608	107	30	2	1.2308282208589	1.62492211838006	TRUE		0.350599346982078	VIT_00s0480g00040;VIT_08s0105g00380	1	FALSE
v3_mapman	flavonoid	M5	21	2608	93	30	0	1.06978527607362	0	TRUE		1		1	FALSE
v3_mapman	flavonoid	M6	21	2608	62	30	1	0.71319018404908	1.40215053763441	TRUE		0.51610984735197	VIT_12s0134g00630	1	FALSE
v3_mapman	flavonoid	M7	21	2608	51	30	0	0.586656441717791	0	TRUE		1		1	FALSE
v3_mapman	flavonoid	M8	21	2608	37	30	0	0.425613496932515	0	TRUE		1		1	FALSE
v3_mapman	flavonoid	M9	21	2608	41	30	0	0.471625766871166	0	TRUE		1		1	FALSE
v3_mapman	flavonoid	M10	21	2608	36	30	0	0.414110429447853	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M1	2	2608	1916	10	7	7.34662576687117	0.952818371607516	TRUE		0.739300095306776	VIT_00s0361g00040;VIT_01s0010g03510;VIT_04s0079g00690;VIT_07s0104g01800;VIT_16s0039g02230;VIT_16s0050g00910;VIT_17s0000g04150	1	FALSE
v3_mapman	anthocyanin	M2	2	2608	158	10	2	0.605828220858896	3.30126582278481	TRUE		0.119221322090852	VIT_01s0011g02960;VIT_03s0017g00870	1	FALSE
v3_mapman	anthocyanin	M3	2	2608	82	10	0	0.31441717791411	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M4	2	2608	107	10	1	0.410276073619632	2.43738317757009	TRUE		0.342736292313737	VIT_08s0105g00380	1	FALSE
v3_mapman	anthocyanin	M5	2	2608	93	10	0	0.35659509202454	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M6	2	2608	62	10	0	0.237730061349693	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M7	2	2608	51	10	0	0.195552147239264	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M8	2	2608	37	10	0	0.141871165644172	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M9	2	2608	41	10	0	0.157208588957055	0	TRUE		1		1	FALSE
v3_mapman	anthocyanin	M10	2	2608	36	10	0	0.138036809815951	0	TRUE		1		1	FALSE
