Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M6	Harvest	2012	Cabernet Sauvignon - Pinot noir	-0.0470396166955307	0.414235408614136	36	-0.113557691393177	0.910219360236764	-0.887147963899545	0.793068730508484	0.986984848449503	0.969668066537523	0.910219360236764
M6	FruitSet	2013	Cabernet Sauvignon - Pinot noir	10.4352360711614	0.414235408614136	36	25.1915598091276	1.85796962174373e-24	9.5951277239574	11.2753444183654	1.67217265956936e-23	9.28984810871865e-24	1.67217265956936e-23
M6	Veraison	2013	Cabernet Sauvignon - Pinot noir	2.34122414203748	0.414235408614136	36	5.65191698573105	2.02897780879688e-06	1.50111579483346	3.18133248924149	1.07416472230423e-05	1.01448890439844e-05	4.56520006979299e-06
M6	Harvest	2013	Cabernet Sauvignon - Pinot noir	-0.431755975769301	0.414235408614136	36	-1.04229616008391	0.304223670709607	-1.27186432297332	0.408352371434713	0.47207121317008	0.507039451182678	0.39114471948378
M6	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.230296795312278	0.414235408614136	36	-0.555956324648243	0.581679908599991	-1.07040514251629	0.609811551891736	0.769870467264694	0.989629921095773	0.65438989717499
M6	Veraison	2014	Cabernet Sauvignon - Pinot noir	3.22054457647351	0.414235408614136	36	7.77467234693467	3.25107855582957e-09	2.38043622926949	4.06065292367752	1.82873168765413e-08	1.62553927791478e-08	9.7532356674887e-09
M6	Harvest	2014	Cabernet Sauvignon - Pinot noir	-0.81295419771588	0.414235408614136	36	-1.96254154234592	0.057463898965592	-1.65306254491989	0.0271541494881347	0.136098708076402	0.0957731649426534	0.086195848448388
M7	FruitSet	2012	Cabernet Sauvignon - Pinot noir	-0.640433277584296	1.7827939133336	36	-0.359230123456483	0.721521486701965	-4.25610691820063	2.97524036303204	0.888603839501892	0.901901858377457	0.963658263820901
M7	Veraison	2012	Cabernet Sauvignon - Pinot noir	-2.56675841955926	1.7827939133336	36	-1.43973927685211	0.158581023957249	-6.18243206017559	1.04891522105707	0.291271268492906	0.198226279946561	0.475743071871747
M7	Harvest	2012	Cabernet Sauvignon - Pinot noir	-6.06744229695389	1.7827939133336	36	-3.40333352698548	0.00164656687723506	-9.68311593757022	-2.45176865633755	0.00548855625745021	0.00411641719308766	0.00740955094755778
