TermID	TermName	OfficialID	OfficialName	Namespace	Official_is_obsolete	Grapedia_label_says_obsolete	Status	Association_pairs
GO:0015926	GO_MF:glucosidase activity	GO:0015926	glucosidase activity	molecular_function	FALSE	FALSE	live_primary_id	3
GO:0015931	GO_BP:nucleobase-containing compound transport	GO:0015931	nucleobase-containing compound transport	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015932	GO_MF:nucleobase-containing compound transmembrane transporter activity	GO:0015932	nucleobase-containing compound transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0015934	GO_CC:large ribosomal subunit	GO:0015934	large ribosomal subunit	cellular_component	FALSE	FALSE	live_primary_id	3
GO:0015935	GO_CC:small ribosomal subunit	GO:0015935	small ribosomal subunit	cellular_component	FALSE	FALSE	live_primary_id	2
GO:0015939	GO_BP:pantothenate metabolic process	GO:0015939	pantothenate metabolic process	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015940	GO_BP:pantothenate biosynthetic process	GO:0015940	pantothenate biosynthetic process	biological_process	FALSE	FALSE	live_primary_id	1
GO:0015977	GO_BP:carbon fixation	GO:0015977	carbon fixation	biological_process	FALSE	FALSE	live_primary_id	2
GO:0015979	GO_BP:photosynthesis	GO:0015979	photosynthesis	biological_process	FALSE	FALSE	live_primary_id	17
GO:0015980	GO_BP:energy derivation by oxidation of organic compounds	GO:0015980	energy derivation by oxidation of organic compounds	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015994	GO_BP:chlorophyll metabolic process	GO:0015994	chlorophyll metabolic process	biological_process	FALSE	FALSE	live_primary_id	3
GO:0015995	GO_BP:chlorophyll biosynthetic process	GO:0015995	chlorophyll biosynthetic process	biological_process	FALSE	FALSE	live_primary_id	3
GO:0016020	GO_CC:membrane	GO:0016020	membrane	cellular_component	FALSE	FALSE	live_primary_id	252
GO:0016032	GO_BP:viral process	GO:0016032	viral process	biological_process	FALSE	FALSE	live_primary_id	1
