SampleName	Module	Cultivar	Stage	Year	Canonical_eigengene	Hub_core_PC1
GSM2627886	M4	Pinot noir	FruitSet	2014	-2.28311423323829	0.6623377901012374
GSM2627887	M4	Pinot noir	FruitSet	2014	-0.768109562070902	0.7690392057168355
GSM2627888	M4	Pinot noir	FruitSet	2014	-1.35782822681528	1.121050017786345
GSM2627895	M4	Pinot noir	Veraison	2014	8.80207216814214	3.35012241948347
GSM2627896	M4	Pinot noir	Veraison	2014	9.67346181776576	3.0815713511177902
GSM2627897	M4	Pinot noir	Veraison	2014	9.71177922857986	3.1606890569871355
GSM2627919	M4	Pinot noir	Harvest	2014	-8.77658740993501	-4.047551724460542
GSM2627920	M4	Pinot noir	Harvest	2014	-10.5780828466217	-4.393440331991859
GSM2627921	M4	Pinot noir	Harvest	2014	-9.07869822595344	-3.8940555101614787
GSM2627691	M5	Cabernet Sauvignon	FruitSet	2012	-5.17340835894435	-1.9594539499032455
GSM2627692	M5	Cabernet Sauvignon	FruitSet	2012	2.20251596029912	-0.486892283996172
GSM2627693	M5	Cabernet Sauvignon	FruitSet	2012	-4.70918350407178	-1.871970442240201
GSM2627709	M5	Cabernet Sauvignon	Veraison	2012	-6.97363896078825	-1.948773342281528
GSM2627711	M5	Cabernet Sauvignon	Veraison	2012	-6.45082037472734	-1.8203537776429892
GSM2627713	M5	Cabernet Sauvignon	Veraison	2012	-7.15762199814107	-1.9064563884678112
GSM2627739	M5	Cabernet Sauvignon	Harvest	2012	-2.91180051006465	-0.9837584567832431
GSM2627740	M5	Cabernet Sauvignon	Harvest	2012	-4.24362542890255	-1.4993251990547891
GSM2627741	M5	Cabernet Sauvignon	Harvest	2012	-0.129690255584347	0.5151020878582533
GSM2627742	M5	Cabernet Sauvignon	FruitSet	2013	-3.70894896898065	-1.738268529060177
GSM2627743	M5	Cabernet Sauvignon	FruitSet	2013	-2.25617769261933	-0.8802002315060277
GSM2627744	M5	Cabernet Sauvignon	FruitSet	2013	-0.971514650083735	-1.3747336134027015
GSM2627754	M5	Cabernet Sauvignon	Veraison	2013	-4.8882075738414	-1.5470419614742839
GSM2627755	M5	Cabernet Sauvignon	Veraison	2013	-6.38135276512267	-1.8694604901861462
GSM2627756	M5	Cabernet Sauvignon	Veraison	2013	-4.80945060571116	-1.5651577571051236
GSM2627781	M5	Cabernet Sauvignon	Harvest	2013	-1.05400395531243	0.03384197996300752
GSM2627782	M5	Cabernet Sauvignon	Harvest	2013	-0.0939422218686623	0.39166930913393877
GSM2627783	M5	Cabernet Sauvignon	Harvest	2013	-1.61247656953552	-0.5491753488426208
GSM2627784	M5	Cabernet Sauvignon	FruitSet	2014	-6.0233439424515	-1.7932775838819448
GSM2627785	M5	Cabernet Sauvignon	FruitSet	2014	-6.35400816752884	-1.9253785689019887
GSM2627786	M5	Cabernet Sauvignon	FruitSet	2014	-5.94186860090651	-1.908788554218055
GSM2627793	M5	Cabernet Sauvignon	Veraison	2014	-5.79645596040762	-1.9429045567424608
GSM2627794	M5	Cabernet Sauvignon	Veraison	2014	-6.64434016790001	-1.905447482155791
GSM2627795	M5	Cabernet Sauvignon	Veraison	2014	-5.97687931508704	-1.8420257428070106
GSM2627820	M5	Cabernet Sauvignon	Harvest	2014	-3.93970576578713	-1.7081980395657563
GSM2627821	M5	Cabernet Sauvignon	Harvest	2014	-3.53973368443312	-1.5144475311844663
GSM2627822	M5	Cabernet Sauvignon	Harvest	2014	-3.23408476929745	-1.3298309082816264
GSM2627823	M5	Pinot noir	FruitSet	2012	0.399004495660182	-0.08791076553261178
GSM2627824	M5	Pinot noir	FruitSet	2012	-3.81734704811592	-1.7629717727946297
GSM2627825	M5	Pinot noir	FruitSet	2012	-3.65237987261136	-1.5245370731114238
GSM2627835	M5	Pinot noir	Veraison	2012	-4.47248713216939	-1.781162899532913
GSM2627836	M5	Pinot noir	Veraison	2012	-5.15700236630741	-1.6160994611282842
GSM2627837	M5	Pinot noir	Veraison	2012	3.5305364073844	0.486753004617996
GSM2627850	M5	Pinot noir	Harvest	2012	22.3643273061345	7.705406222598899
GSM2627851	M5	Pinot noir	Harvest	2012	23.659599473007	8.21985593280809
GSM2627852	M5	Pinot noir	Harvest	2012	21.7784370822934	7.8445518392374955
GSM2627853	M5	Pinot noir	FruitSet	2013	-4.06368250394309	-1.6808947515214436
GSM2627854	M5	Pinot noir	FruitSet	2013	-4.61359340609963	-1.741530748376235
GSM2627855	M5	Pinot noir	FruitSet	2013	-3.89986936066777	-1.1726272977900905
GSM2627862	M5	Pinot noir	Veraison	2013	-5.20569291575624	-1.7951951317096941
GSM2627863	M5	Pinot noir	Veraison	2013	-4.0358497559624	-1.6688461814430038
GSM2627864	M5	Pinot noir	Veraison	2013	-3.98125708159714	-1.5170808434759038
GSM2627883	M5	Pinot noir	Harvest	2013	18.6406967132022	6.964583638443461
GSM2627884	M5	Pinot noir	Harvest	2013	20.3494568586327	7.051405264340606
GSM2627885	M5	Pinot noir	Harvest	2013	21.0190766996542	8.09862160209037
GSM2627886	M5	Pinot noir	FruitSet	2014	-6.44579370430383	-1.9459771063078717
GSM2627887	M5	Pinot noir	FruitSet	2014	-5.76671530561685	-1.9876295538900353
GSM2627888	M5	Pinot noir	FruitSet	2014	-6.16450270533301	-1.899820748111265
GSM2627895	M5	Pinot noir	Veraison	2014	-4.52742581001281	-1.3777778025673364
GSM2627896	M5	Pinot noir	Veraison	2014	-4.45665668962371	-1.6032804307828152
GSM2627897	M5	Pinot noir	Veraison	2014	-4.65084905092883	-1.9138550801134695
GSM2627919	M5	Pinot noir	Harvest	2014	16.2273136419211	5.246984644517269
GSM2627920	M5	Pinot noir	Harvest	2014	18.2676016819511	6.372000745702087
GSM2627921	M5	Pinot noir	Harvest	2014	17.4488231570088	6.01774211656371
GSM2627691	M6	Cabernet Sauvignon	FruitSet	2012	21.6240231014206	7.398445726818879
GSM2627692	M6	Cabernet Sauvignon	FruitSet	2012	20.0334050082689	6.67868816544014
