Module	Cultivar	Stage	Year	N	Canonical_Mean	Canonical_SD	Canonical_SE	HubCore_Mean	HubCore_SD	HubCore_SE
M8	Cabernet Sauvignon	Harvest	2012	3	-1.5307705726792158	0.6052222580994436	0.34942523363326694	-0.9217507223361646	0.25642977810284856	0.14804980141591562
M8	Cabernet Sauvignon	Harvest	2013	3	-0.37005991235395624	0.6891284219156518	0.3978684798992236	-0.7388822516592932	0.09099460139759513	0.05253575761170425
M8	Cabernet Sauvignon	Harvest	2014	3	-0.4580460273694584	0.7688347261765677	0.4438869361203736	-0.27872490842497233	0.3430964527183608	0.19808682933495134
M8	Pinot noir	FruitSet	2012	3	14.1986305180587	3.3840853633251617	1.9538025954764549	4.909424488567262	0.9166408759902358	0.529222856503177
M8	Pinot noir	FruitSet	2013	3	-0.9274961979218143	0.34562763878535263	0.1995482102920981	0.002509727955331128	0.4295649053271968	0.2480094137250732
M8	Pinot noir	FruitSet	2014	3	-2.3883012912782036	1.6419941173594592	0.9480057456652657	-0.34002944965806053	1.020927135133699	0.5894325562924346
M8	Pinot noir	Veraison	2012	3	-1.8153906895198701	0.6700466783712588	0.38685163012726087	-0.6014076855895011	0.4970976753200019	0.2869994766595403
M8	Pinot noir	Veraison	2013	3	-0.9664341563067333	1.9957755691632395	1.152261562098475	0.1676537192717343	0.5113979154839118	0.29525572416764995
M8	Pinot noir	Veraison	2014	3	-4.9138703545838505	0.37092127588779517	0.214151498481978	-1.4824479247851192	0.10245035349266671	0.05914973916756344
M8	Pinot noir	Harvest	2012	3	-1.0168535999247739	0.7683678518234918	0.44361738608694745	-1.0836322296295087	0.25832427160749705	0.14914358775080244
M8	Pinot noir	Harvest	2013	3	0.44242927421038897	0.42772419950397184	0.24694668172253534	-0.6632061159377893	0.3322778272301485	0.1918406929970702
M8	Pinot noir	Harvest	2014	3	1.336618568317257	0.5488432011932783	0.3168747699518352	-0.7270918175169868	0.10034559683085345	0.0579345573422869
M9	Cabernet Sauvignon	FruitSet	2012	3	-2.6726764174356163	0.26560375481753346	0.15334639934167832	-1.1834836246783482	0.17233010509599328	0.09949483256664822
M9	Cabernet Sauvignon	FruitSet	2013	3	5.561050533057013	10.239493915722944	5.911774568608178	2.5946196018560506	4.4173350445822495	2.5503495770903295
M9	Cabernet Sauvignon	FruitSet	2014	3	0.7802541211696902	0.8438573676755795	0.4872012783851449	0.40636859733964253	0.46383534282396205	0.26779546003907684
M9	Cabernet Sauvignon	Veraison	2012	3	-3.6144416323101267	0.32701121629831265	0.18880001375785777	-1.294553137607959	0.07647036368898354	0.04415018506086323
M9	Cabernet Sauvignon	Veraison	2013	3	-2.526081521216883	1.295345118949554	0.7478678531189928	-0.8852945699773495	0.5111047383195279	0.29508645825287266
M9	Cabernet Sauvignon	Veraison	2014	3	7.423164250042103	7.585782092768283	4.379653333273611	2.938666014383624	3.0503933524704503	1.7611454231830597
M9	Cabernet Sauvignon	Harvest	2012	3	-2.5128467253405167	0.4641027490350551	0.2679498470870344	-0.9583110307063084	0.20122357077511444	0.11617648275431004
M9	Cabernet Sauvignon	Harvest	2013	3	-0.08454601317860395	0.960668722028716	0.554642345265333	0.06894450255296114	0.491141145185341	0.2835604723828577
M9	Cabernet Sauvignon	Harvest	2014	3	0.34105466051441136	2.9565569874535447	1.706968972580773	0.33215139774129004	1.4491031163692023	0.8366400743192846
M9	Pinot noir	FruitSet	2012	3	-2.6397273089849036	0.24015551726041182	0.1386538525376726	-1.2171827734506355	0.14960935973259443	0.08637700411490096
M9	Pinot noir	FruitSet	2013	3	10.740761560054837	12.892894693613727	7.443716221991383	3.81789749563689	4.95171826205816	2.8588758715504645
M9	Pinot noir	FruitSet	2014	3	0.9948378310812763	1.2473448510472656	0.7201548855244324	0.6280785267238593	0.6275620148175409	0.36232309818809116
